"n","marginal","copula_type","rho","d","mean_mse_our","mean_mse_oracle","sd_mse_our","sd_mse_oracle","gap","marg_copula"
2000,"chisq","gumbel",1,1,0.288762325976068,0,0.210466840389332,NA,0.288762325976068,"chisq_gumbel"
2000,"gaussian","gaussian",0,1,2.12711724108717,2.10683336174198,0.0643911176249986,0.063815174932716,0.0202838793451869,"gaussian_gaussian"
2000,"gaussian","gaussian",0.5,1,1.63039598172539,1.60704559713556,0.0684756642245871,0.0666537646598213,0.0233503845898346,"gaussian_gaussian"
2000,"gaussian","gaussian",1,1,0.0426407470663885,0,0.0221938982075353,0,0.0426407470663885,"gaussian_gaussian"
2000,"gaussian","gumbel",0,1,2.14271707458574,2.12445762580026,0.0917552260887398,0.0921752384584184,0.0182594487854773,"gaussian_gumbel"
2000,"gaussian","gumbel",0.5,1,1.60239501007667,1.54317494781097,0.0821539434311862,0.0750278408194324,0.0592200622657073,"gaussian_gumbel"
2000,"gaussian","gumbel",1,1,0.0435666490049257,0,0.0258844697605462,NA,0.0435666490049257,"gaussian_gumbel"
2000,"laplace","gaussian",0,1,4.24301285468087,4.21012706445848,0.271827788780544,0.277017377861926,0.0328857902223918,"laplace_gaussian"
2000,"laplace","gaussian",0.5,1,3.30017525976179,3.21739937298977,0.181733246907079,0.170012354999587,0.0827758867720165,"laplace_gaussian"
2000,"laplace","gaussian",1,1,0.127863354413275,0,0.091730743756925,0.255465729257495,0.127863354413275,"laplace_gaussian"
2000,"laplace","gumbel",0,1,4.26900228366709,4.24299112899529,0.287898940904394,0.290331725656879,0.0260111546718091,"laplace_gumbel"
2000,"laplace","gumbel",0.5,1,3.2377181256104,3.07719428827638,0.236817396618752,0.220610068065498,0.160523837334027,"laplace_gumbel"
2000,"laplace","gumbel",1,1,0.130225815039128,0,0.0885785838323399,NA,0.130225815039128,"laplace_gumbel"
2000,"t","gaussian",0,1,6.38728286666083,6.344501626485,1.39529656745488,1.39303065709338,0.0427812401758318,"t_gaussian"
2000,"t","gaussian",0.5,1,5.06169199942742,4.98839232121376,1.00800146610425,0.991402515583165,0.0732996782136599,"t_gaussian"
2000,"t","gaussian",1,1,0.175478076257518,0,0.0916234971514625,0,0.175478076257518,"t_gaussian"
2000,"t","gumbel",0,1,6.48073771521739,6.42963600922381,2.22802325290806,2.233488212347,0.051101705993581,"t_gumbel"
2000,"t","gumbel",0.5,1,4.67146400630602,4.3932440826359,0.619533256094508,0.623949224067122,0.278219923670116,"t_gumbel"
2000,"t","gumbel",1,1,0.194877152641152,0,0.133491152806698,NA,0.194877152641152,"t_gumbel"
